id,template_id,user_id,email_type,success,error_message,response_time,token_usage,created_at
cmbud0btx000axfma1h8oelth,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,458,301,2025-06-13 05:20:51.43
cmbud0c9q000ixfmaokfjig6t,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,555,292,2025-06-13 05:20:51.998
cmbud0ck7000kxfmau9dcumpz,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,700,300,2025-06-13 05:20:52.273
cmbud0gh4000qxfmap9uiylsa,cmbubzuhy0003xf7v7qz1xv9u,null,unknown,true,null,4945,30377,2025-06-13 05:20:57.448
cmbud0h2v000wxfmagzplo03e,cmbubzue50002xf7vnwo0payz,null,unknown,true,null,6292,30889,2025-06-13 05:20:58.231
cmbud0hyv0014xfmadddnkq30,cmbubzulq0004xf7vrp66zb6f,null,unknown,true,null,6623,47611,2025-06-13 05:20:59.383
cmbuti1hd0005xfgvt6r7fhyu,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,794,297,2025-06-13 13:02:31.681
cmbuti6s9000bxfgv095x0tt1,cmbubzue50002xf7vnwo0payz,null,unknown,true,null,6328,9814,2025-06-13 13:02:38.553
cmbux9d110005xfq5d6p45uk4,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,0,0,2025-06-13 14:47:45.205
cmbux9hlz000bxfq5g1vp2qj5,cmbubzue50002xf7vnwo0payz,null,unknown,true,null,5393,30889,2025-06-13 14:47:51.144
cmbuxa1n7000lxfq5ktxpwvu5,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,0,0,2025-06-13 14:48:17.078
cmbuxa72z000pxfq5zk4cnpsc,cmbubzulq0004xf7vrp66zb6f,null,unknown,true,null,6639,47611,2025-06-13 14:48:24.155
cmbuxaw1k000vxfq5nomgg6vs,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,0,0,2025-06-13 14:48:56.477
cmbuxb0o3000zxfq50nycode8,cmbubzuhy0003xf7v7qz1xv9u,null,unknown,true,null,5584,30375,2025-06-13 14:49:02.499
cmbuy1ewn0005xf2fmhrfcgbw,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,0,0,2025-06-13 15:09:34.008
cmbuy1kjz000bxf2fhl2nmy3h,cmbubzue50002xf7vnwo0payz,null,unknown,true,null,6823,30885,2025-06-13 15:09:41.327
cmbuy24wo000lxf2f9vzs5cit,cmbubzu6k0000xf7v5rq50f9z,null,unknown,true,null,0,0,2025-06-13 15:10:07.679
cmbuy2bpg000pxf2fnu6y8fhr,cmbubzulq0004xf7vrp66zb6f,null,unknown,true,null,8438,47611,2025-06-13 15:10:16.516
